CUST_ORG,BUS_CAT_CL,BUS_CAT_DS,OCCPNT_TYP,SRCDATA_ID,NAME,DESCRIPTN,ADDRESS,ALIAS_ADDR,ST_ADDRESS,POSTAL_CD,LOCALITY,CONT_PHONE,CONT_EMAIL,CONT_FAX,WEBSITE,IMAGE_URL,LATITUDE,LONGITUDE,KEYWORDS,DT_UPDATE,GEOCD_IND,FACEBOOK,PRODUCT_ID,TRSM_AREA,TWITTER,SHAPE,SEQ_ID,X,Y
Destination BC,accommodationServices,Accommodation services,HelloBC Accomodations Listing,1453,Parkside Campground & RV Park,Campgrounds & RV Parks - Private;,"6301 Gold River Hwy, Campbell River, BC",6301 Gold River Hwy,6301 Gold River Hwy,V9H1P1,Campbell River,,,,www.parksidecampingrv.com,,50.0283549,-125.3414464,Accommodation,20181201072117,, ,4541174,Vancouver Island, ,,2687,1047185.4760000005,557157.4149999972
Destination BC,accommodationServices,Accommodation services,HelloBC Accomodations Listing,1454,Whiskey Creek RV Campground,Campgrounds & RV Parks - Private;,"1268 Chatsworth Rd, Qualicum Beach, BC",1268 Chatsworth Rd,1268 Chatsworth Rd,V9K1V6,Qualicum Beach,,,,,,49.2979456,-124.5236649,Accommodation,20181201072117,,https://www.facebook.com/Whiskey-Creek-RV-Campground-226819447356372/,4540356,Vancouver Island, ,,2823,1107466.8800000015,476854.1029999973
Destination BC,accommodationServices,Accommodation services,HelloBC Accomodations Listing,1455,Caron Creek RV Park  & Riverview B&B,Bed & Breakfasts; Campgrounds & RV Parks - Private;,"7545 Hwy 97S, Chetwynd, BC","7545 Hwy 97S, Chetwynd, BC",7545 Hwy 97S,V0C1J0,Chetwynd,,,,,,55.6199513,-121.8143463,Accommodation,20181201072117,, ,4540407,Northern British Columbia, ,,3717,1262889.1240000003,1188204.4209999917
Destination BC,accommodationServices,Accommodation services,HelloBC Accomodations Listing,1456,Granisle Lions Beach Park,Campgrounds & RV Parks - Private;,"Hwy 118, Granisle, BC","Hwy 118, Granisle, BC",Hwy 118,V0J1W0,Granisle,,,,,,54.5070952,-126.3010304,Accommodation,20181201072115,, ,4540925,Northern British Columbia, ,,1483,980553.9399999996,1056251.2820000015
Destination BC,accommodationServices,Accommodation services,HelloBC Accomodations Listing,1457,Caprice B&B,Bed & Breakfasts;,"1111 Gower Point Rd, Gibsons, BC",1111 Gower Point Rd,1111 Gower Point Rd,V0N1V3,Gibsons,,,,,,49.3864376,-123.5302091,Accommodation,20181201072118,,http://www.facebook.com/pages/Caprice-BB/178042632253596,4540358,Vancouver Coast and Mountains, ,,4343,1179417.0720000002,488697.24200000055
Destination BC,accommodationServices,Accommodation services,HelloBC Accomodations Listing,1458,"Hampton Inn & Suites by Hilton, Downtown Vancouver",Hotels & Motels;,"111 Robson St, Vancouver, BC",111 Robson St,111 Robson St,V6B2A8,Vancouver,,,,,,49.277778999999995,-123.114212,Accommodation,20181201072116,,https://www.facebook.com/HamptonInnandSuitesDowntownVancouver,4540426,Vancouver Coast and Mountains,https://twitter.com/hamptondtvan,,1637,1210113.5730000006,477775.8110000007
Destination BC,accommodationServices,Accommodation services,HelloBC Accomodations Listing,1459,Ramada Limited Downtown Vancouver,Hotels & Motels;,"435 Pender St W, Vancouver, BC",435 Pender St W,435 Pender St W,V6B1V2,Vancouver,,,,www.ramadadowntownvancouver.com,,49.2832823,-123.112543,Accommodation,20181201072117,,https://www.facebook.com/pages/Ramada-Limited-Downtown-Vancouver/160317594027306,4539809,Vancouver Coast and Mountains,https://twitter.com/#!/RamadaHotelVan,,3575,1210210.09,478391.756000001
Destination BC,accommodationServices,Accommodation services,HelloBC Accomodations Listing,1460,Ocean Island Inn | Backpackers | Suites,Hostels;,"791 Pandora Ave, Victoria, BC",791 Pandora Ave,791 Pandora Ave,V8W1N9,Victoria,,,,,,48.427968,-123.364059,Accommodation,20181201072117,,http://www.facebook.com/OceanIslandInn,4540317,Vancouver Island,https://twitter.com/oceanislandinn,,2575,1195443.892000001,382768.41899999883
Destination BC,accommodationServices,Accommodation services,HelloBC Accomodations Listing,1461,Kingfisher Oceanside Resort & Spa,Hotels & Motels; Resorts;,"4330 Island Hwy S, Courtenay, BC",4330 Island Hwy S,4330 Island Hwy S,V9N9R9,Courtenay,,,,www.kingfisherspa.com,,49.6324712,-124.9208404,Accommodation,20181201072115,,http://www.facebook.com/kingfisherspa,4540394,Vancouver Island,https://twitter.com/Kingfisherspa,,1469,1077991.1610000003,513508.8879999984
Destination BC,accommodationServices,Accommodation services,HelloBC Accomodations Listing,1462,Fairmont Waterfront,Hotels & Motels;,"900 Canada Pl Way, Vancouver, BC",900 Canada Place Way,900 Canada Pl Way,V6C3L5,Vancouver,,,,www.fairmont.com/waterfront-vancouver,,49.287195999999994,-123.1140201,Accommodation,20181201072116,,http://www.facebook.com/fairmonthotelwaterfront,4540986,Vancouver Coast and Mountains,http://twitter.com/FairmontWF,,2115,1210084.8910000008,478821.8830000004
Destination BC,accommodationServices,Accommodation services,HelloBC Accomodations Listing,1463,Delta Whistler Village Suites,Hotels & Motels;,"4308 Main St, Whistler, BC",4308 Main St,4308 Main St,V0N1B4,Whistler,,,,,,50.117104999999995,-122.956691,Accommodation,20181201072117,,https://www.facebook.com/DeltaWhistler,4540723,Vancouver Coast and Mountains, ,,2947,1217565.3010000011,571487.7259999998
Destination BC,accommodationServices,Accommodation services,HelloBC Accomodations Listing,1464,Powder Springs Inn,Hotels & Motels;,"200 3rd St W, Revelstoke, BC","200 3rd St W, Revelstoke, BC",200 3rd St W,V0E2S0,Revelstoke,,,,powdersprings.ca,,50.9986854,-118.1976265,Accommodation,20181201072116,,https://www.facebook.com/powderspringsinn2013,4539663,Kootenay Rockies, ,,1759,1546039.1390000011,695058.7880000006
Destination BC,accommodationServices,Accommodation services,HelloBC Accomodations Listing,1465,Humboldt House B&B,Bed & Breakfasts;,"867 Humboldt St, Victoria, BC",867 Humboldt St,867 Humboldt St,V8V2Z6,Victoria,,,,,,48.419866,-123.362959,Accommodation,20181201072116,,http://www.facebook.com/VictoriaBC,4540482,Vancouver Island,http://twitter.com/HumboldtHouse,,2739,1195558.896,381873.06099999975
Destination BC,accommodationServices,Accommodation services,HelloBC Accomodations Listing,1466,Executive Hotel Le Soleil,Hotels & Motels;,"567 Hornby St, Vancouver, BC",567 Hornby St,567 Hornby St,V6C2E8,Vancouver,,,,www.hotellesoleil.com,,49.285520999999996,-123.117273,Accommodation,20181201072116,,https://www.facebook.com/ExecutiveHotelLeSoleil,4540417,Vancouver Coast and Mountains,https://twitter.com/hotellesoleilbc,,1887,1209855.8039999986,478626.2700000005
Destination BC,accommodationServices,Accommodation services,HelloBC Accomodations Listing,1467,Hilton Vancouver Metrotown,Hotels & Motels;,"6083 McKay Ave, Burnaby, BC",6083 McKay Ave,6083 McKay Ave,V5H2W7,Burnaby,,,,www.hiltonvancouver.com,,49.228637,-123.003652,Accommodation,20181201072118,,https://www.facebook.com/HiltonVancouverMetro,4540299,Vancouver Coast and Mountains,https://twitter.com/hiltonvanmetro,,3781,1218389.7420000008,472654.9480000073
Destination BC,accommodationServices,Accommodation services,HelloBC Accomodations Listing,1468,Sandman Hotel Victoria,Hotels & Motels;,"2852 Douglas St, Victoria, BC",2852 Douglas St,2852 Douglas St,V8T4M5,Victoria,,,,www.sandmanhotels.com,,48.440369,-123.368055,Accommodation,20181201072116,,http://www.facebook.com/sandmanhotelgroup,4540636,Vancouver Island,http://twitter.com/sandmanhotels,,1865,1195096.5940000007,384132.51700000186
Destination BC,accommodationServices,Accommodation services,HelloBC Accomodations Listing,1469,Best Western Plus Barclay Hotel,Hotels & Motels;,"4277 Stamp Ave, Port Alberni, BC",4277 Stamp Ave,4277 Stamp Ave,V9Y7X8,Port Alberni,,,,www.bestwesternbarclay.com,,49.253217,-124.807391,Accommodation,20181201072116,,http://www.facebook.com/pages/Best-Western-Barclay-Hotel/117897874920796,4539860,Vancouver Island, ,,1807,1086899.5119999999,471495.4980000006
Destination BC,accommodationServices,Accommodation services,HelloBC Accomodations Listing,1470,Best Western PLUS Sunrise Inn,Hotels & Motels;,"5506 Main St, Osoyoos, BC","5506 Main St, Osoyoos, BC",5506 Main St,V0H1V0,Osoyoos,,,,www.bestwesternosoyoos.com,,49.028065999999995,-119.442043,Accommodation,20181201072117,,http://www.facebook.com/bwplussunrise,4540367,Thompson Okanagan,https://twitter.com/BWOsoyoos,,2657,1479499.0219999999,467976.8269999968
Destination BC,accommodationServices,Accommodation services,HelloBC Accomodations Listing,1471,Lizard Creek Lodge at Fernie Alpine Resort,Hotels & Motels;,"5346 Highline Dr, Fernie Alpine Resort, BC",301 Northstar Blvd,5346 Highline Dr,V0B1M6,Fernie Alpine Resort,,,,www.skircr.com,,49.4652235,-115.0857782,Accommodation,20181201072118,,https://www.facebook.com/Lizardcreeklodge,4540301,Kootenay Rockies,https://twitter.com/lizardcreek,,4057,1788538.072000001,555229.8679999961
Destination BC,accommodationServices,Accommodation services,HelloBC Accomodations Listing,1472,Executive Airport Plaza,Hotels & Motels;,"7311 Westminster Hwy, Richmond, BC",7311 Westminster Hwy,7311 Westminster Hwy,V6X1A3,Richmond,,,,www.executivehotels.net,,49.1702,-123.14489499999999,Accommodation,20181201072117,,https://www.facebook.com/pages/Executive-Hotel-Airport-Plaza-Richmond/149243631767483,4541130,Vancouver Coast and Mountains, ,,3037,1208362.6980000015,465742.33999999426
Destination BC,accommodationServices,Accommodation services,HelloBC Accomodations Listing,1473,Best Western Dorchester Hotel,Hotels & Motels;,"70 Church St, Nanaimo, BC",70 Church St,70 Church St,V9R5H4,Nanaimo,,,,www.dorchesternanaimo.com,,49.16804,-123.93671,Accommodation,20181201072116,,http://www.facebook.com/DorchesterNanaimo,4541035,Vancouver Island,http://twitter.com/bwdorchester,,2401,1150603.3320000002,463494.95300000254
Destination BC,accommodationServices,Accommodation services,HelloBC Accomodations Listing,1474,Sandman Hotel Quesnel,Hotels & Motels;,"940 Chew Ave, Quesnel, BC",940 Chew Ave,940 Chew Ave,V2J6R8,Quesnel,,,,www.sandmanhotels.com,,52.963758,-122.441658,Accommodation,20181201072118,,http://www.facebook.com/sandmanhotelgroup,4540332,Cariboo Chilcotin Coast,http://twitter.com/sandmanhotels,,4069,1238420.1889999984,889976.0310000014
Destination BC,accommodationServices,Accommodation services,HelloBC Accomodations Listing,1475,Arcona House on the Lake,Bed & Breakfasts;,"4751 Chilcotin Cres, 108 Mile Ranch, BC","4751 Chilcotin Cres, 108 Mile Ranch, BC",4751 Chilcotin Cres,V0K2Z0,108 Mile Ranch,,,,,,51.7478886,-121.3598034,Accommodation,20181201072117,, ,4540315,Cariboo Chilcotin Coast, ,,2561,1319696.4760000007,758886.9379999964
Destination BC,accommodationServices,Accommodation services,HelloBC Accomodations Listing,1476,Vancouver Marriott Pinnacle Downtown,Hotels & Motels;,"1128 Hastings St W, Vancouver, BC",1128 Hastings St W,1128 Hastings St W,V6E4R5,Vancouver,,,,,,49.288238,-123.12069,Accommodation,20181201072118,,https://www.facebook.com/VancouverMarriottDowntown/,4540304,Vancouver Coast and Mountains,https://twitter.com/VanMarriott,,4341,1209594.9159999995,478917.7990000015
Destination BC,accommodationServices,Accommodation services,HelloBC Accomodations Listing,1477,Bon Voyage Motor Inn,Hotels & Motels;,"4222 Hwy 16W, Prince George, BC",4222 Hwy 16W,4222 Hwy 16W,V2N5N7,Prince George,,,,,,53.8600031,-122.8036184,Accommodation,20181201072116,,https://www.facebook.com/bonvoyageinnpg/?rf=133871889965851,4540716,Northern British Columbia,https://twitter.com/bonvoyageinnpg,,2369,1209671.3010000016,988720.5870000003
Destination BC,accommodationServices,Accommodation services,HelloBC Accomodations Listing,1478,Four Points by Sheraton Kamloops,Hotels & Motels;,"1175 Rogers Way, Kamloops, BC",1175 Rogers Way,1175 Rogers Way,V1S1R5,Kamloops,,,,,,50.651407,-120.368398,Accommodation,20181201072117,,https://www.facebook.com/Four-Points-by-Sheraton-Kamloops-129280637133419/?fref=ts,4540336,Thompson Okanagan, ,,2621,1397575.924000001,642092.2130000005
