licence number,establishment name,location address line 1,location address line 2,location address city,location postal code,licence type,licence sub type,capacity
307941, Noodlebox/Meat and Bread/Good Taco,2455 West Railway Ave,,ABBOTSFORD,V2S2E3,Food Primary,,100
304406,"""Cuckoo"" Trattoria Pizzeria",2310 Alberni Hwy,,COOMBS,V0R1M0,Food Primary,,666
300413,#12 (Vancouver) Service Batalion,5500 No. 4 Rd,,RICHMOND,V6X3L5,Liquor Primary,,210
184229,#9 RESTAURANT,812  5300 NO 3 RD,,RICHMOND,V6X2X9,Food Primary,,189
307820,'Lil Chef Bistro,40365 Tantalus Rd,,SQUAMISH,V0N1T0,Food Primary,,35
304745,0755 Restaurant & Lounge,Unit 2188 - 3779 Sexsmith Road,,RICHMOND,V6X3Z9,Food Primary,,223
305041,0889157 B.C. LTD,,,,,Agent,,
306138,0954745 B.C. Ltd.,,,,,Agent,,
308420,1 Mill Road Vineyard Ltd.,3755 2nd Street,,NARAMATA,V0H1N0,Manufacturer,Winery,0
164690,10 Acres Bistro & Bar & Market ,609 Courtney Street,,VICTORIA,V8W1B7,Food Primary,,225
302472,10 Acres at the Pier ,9805 Seaport Place,,SIDNEY,V8L4X3,Food Primary,,290
19839,100 Mile House Curling Club,Airport Rd,,100 MILE HOUSE,V0K2E0,Liquor Primary,,94
307738,10379549 Canada Inc.,,,,,Agent,,
306264,104 Sushi & Co,110 - 10422 168th St.,,SURREY,V4N1R9,Food Primary,,30
306661,1041977 B.C. Ltd.,,,,,Agent,,
54119,108 Resort,108 Mile Ranch,,108 MILE RANCH,V0K2Z0,Food Primary,,858
104159,108 Resort,108 Mile Ranch,,108 MILE RANCH,V0K2Z0,Liquor Primary,,42
307555,1108974 B.C. Ltd.,,,,,Agent,,
195226,110th Street Liquor Store,11004/11008 100 Ave,,FORT ST. JOHN,V1J4M7,Licensee Retail Store,,
307765,1125650 B.C. LTD.,,,,,Agent,,
307913,1153417 B.C. Ltd.,,,,,Agent,,
302003,1181,1181 Davie St,,VANCOUVER,V6E1N2,Liquor Primary,,59
195494,11th Ave Liquor Store,1352  11th Ave E,,PRINCE RUPERT,V8J2X1,Licensee Retail Store,,
306749,1423,1423 Ellis Street,,KELOWNA,V1Y2A3,Liquor Primary,,35
195249,14th Ave Pub Beer Wine & Liquor Store,32516 14th Ave,,MISSION,V2V2N7,Licensee Retail Store,,
30501,14th Avenue Pub,32516 14th Ave,,MISSION,V2V2N7,Liquor Primary,,120
82591,1550'S RESTAURANT,1550 CEDAR HILL X RD,,VICTORIA,V8P2P4,Food Primary,,100
300432,15TH FIELD ARTILLERY REGIMENT ,2025 W. 11TH AVE,,VANCOUVER,V6J2C7,Liquor Primary,,235
116940,1609 Restaurant and Lounge ,148 Silver Lode Lane,,SILVER STAR MOUNTAIN,V1B3M1,Food Primary,,200
195193,17 Mile House Licensed Liquor Store,5126 Sooke Road,,SOOKE,V9C4C4,Licensee Retail Store,,
163660,18 BELOW,4900 GLACIER DR,RR  4,WHISTLER,V0N1B4,Food Primary,,165
300604,19 Wing Comox,Corner of Pritchard & Ryan Rd,,COMOX,V0R2K0,Liquor Primary,,1999
300603,19 Wing Sailing Club,Goose Spit Site,,COMOX,V0R2K0,Liquor Primary,,118
306988,1912 Lakeside Bistro,100 Alder Ave,,KALEDEN,V0H1K0,Food Primary,,132
308387,1917879 Alberta Ltd.,,,,,Agent,,
308600,1931 Gallery Bistro,750 Hornby Street,,VANCOUVER,V6Z2H7,Food Primary,,215
195502,1st Avenue Liquor Store,243 - 2800 East 1st Avenue,,VANCOUVER,V5M4P1,Licensee Retail Store,,
308356,1st Avenue Tavern,1201 1st Avenue,,PRINCE GEORGE,V2L2Y7,Liquor Primary,,50
303563,1st Beach Bar & Grill,5866B Beach Ave.,,PEACHLAND,V0H1X7,Food Primary,,50
305784,1st R.O.W. Estate Winery,104 - 2762 190th Street,,SURREY,V3S3W6,Manufacturer,Winery,0
101598,2 Guys Sushi & Seafood Grill ,15169 ROPER AVE,,WHITE ROCK,V4B5C9,Food Primary,,80
184921,21 Steps Kitchen and Bar,10-4433 Sundial Place,,WHISTLER,V8E1G7,Food Primary,,159
307917,2371589 Ontario Inc.,,,,,Agent,,
308778,2545 Salon and Spa,#107 - 5725 Teredo Street,,SECHELT,V0N3A3,Liquor Primary,,39
165803,28 Inn,4545 10th Ave,,NEW HAZELTON,V0J2J0,Liquor Primary,,113
194853,28 Inn Beer & Wine Store,4545 10th Avenue,,NEW HAZELTON,V0J2J0,Licensee Retail Store,,
307506,3 Dogs Brewing Ltd. ,1515 Johnston Road,,WHITE ROCK,V4B3Z6,Manufacturer,Brewery,0
304800,3 Gringo's Fresh Mexican Grill,113 - 735 Goldstream Ave,,LANGFORD,V9B2X4,Food Primary,,32
307270,328 Taphouse & Grill,102-328 Wale Rd,,VICTORIA,V9B0J8,Food Primary,,298
305453,33 Acres Brewing Company,15 West 8th Avenue,,VANCOUVER,V5Y1M8,Manufacturer,Brewery,0
306278,33 Acres Cider Company,15 West 8th Avenue,,VANCOUVER,V5Y1M8,Manufacturer,Winery,0
307923,33 Brewing Experiment,25 West 8th Avenue,,VANCOUVER,V5Y1M8,Manufacturer,Brewery,0
300973,3620905 CANADA LTD. (DBA Beverage International Distributor),,,,,Agent,,
306779,37 Grille,1530 Kitwanga Road North,,KITWANGA,V0J2A0,Food Primary,,98
